"","Drug_Overdose_Deaths","Alcohol_Impaired_Driving_Deaths","Unemployment_Rate","Income_Inequality","Highschool_Comp_Rate","Adult_Smoking_Rate","Excessive_Drinking_Rate","Median_House_Income","College_Education_Rate","Children_In_Poverty","Single_Parent_House","Social_Associations","Pop_Under_18","Pop_Over_65","NH_Black","American_Or_Alaska_Native","Hispanic_Pop","Female_Pop","Rural_Pop"
"828",NA,0.1818181818,0.0267940354,4.2382956535,0.9548685146,0.175,0.1909129822,68542,0.7308539945,0.124,0.2963060686,13.99026764,0.2254931715,0.2270713202,0.0105614568,0.0042488619,0.0442488619,0.5030045524,0.3306274414
"829",NA,0.3333333333,0.0382337662,3.9513717469,0.9072148196,0.197,0.1892630224,64486,0.5728600057,0.126,0.1870344828,22.94387575,0.2143066894,0.2504845246,0.0078111235,0.0026428613,0.0236095613,0.4906912551,0.9907293317
"830",19.384853967,0.3333333333,0.0346802703,4.1256844026,0.9202661902,0.186,0.203398767,61136,0.6291623186,0.179,0.2686938229,13.989626154,0.2279475229,0.2064560677,0.0309209391,0.00425082,0.0360780252,0.5047255308,0.3014851485
"831",NA,0.0909090909,0.0404014738,4.4715216239,0.8253193088,0.191,0.1707931048,67363,0.5645920502,0.151,0.3261771164,8.0281603162,0.2476586243,0.1838367549,0.0316938535,0.0189790982,0.3060224524,0.4821063078,0.5072919818
"832",8.4972740745,0.3043478261,0.0199613295,4.0016794992,0.9627133599,0.113,0.2404910631,109138,0.8493328572,0.049,0.1153390583,9.1525684997,0.2645996889,0.1280458451,0.0331524959,0.0037031551,0.0660550289,0.5009443045,0.2134874295
"833",NA,0,0.0240573676,3.3232546968,0.7915057915,0.197,0.1965982446,65201,0.5493670886,0.14,0.0949367089,5.4716568177,0.2978094195,0.1863088719,0.0018619934,0.0052573932,0.0197152245,0.4905805038,1
"834",NA,0.1538461538,0.0247547875,4.5079106034,0.8907792481,0.193,0.1962006948,51749,0.6225523295,0.218,0.0878338279,7.8339208774,0.2268645061,0.2120265521,0.0187426786,0.0059872446,0.03423142,0.4938175192,1
"835",NA,0.2727272727,0.0229874184,3.6837896196,0.9211924929,0.173,0.2031997586,74017,0.6467773712,0.094,0.1327900288,14.277555682,0.2306466302,0.2132855191,0.0093351548,0.0017076503,0.0174180328,0.4916325137,0.7190645014
"836",18.077578637,0.4166666667,0.0418076629,4.5017570182,0.9293974661,0.185,0.2067748854,59688,0.6583434166,0.193,0.3154516277,16.627263516,0.2221554853,0.2160447079,0.0621262372,0.0040738516,0.0403990285,0.5072728697,0.2697764071
"837",NA,0.2,0.0278865883,3.7055449882,0.965378483,0.155,0.201734235,75406,0.7289843543,0.076,0.1696535245,20.166937426,0.1887064566,0.2841136011,0.0066008431,0.0030508099,0.0292323053,0.5017750166,0.2681466418
